Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1	HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52746354.0	7.9 Gbp	0.0	150.0	48.0	27.435810618325974	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2	HSF4_4H_1_ZKRN250030474-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52746354.0	7.9 Gbp	0.0	150.0	48.0	27.623634571948102	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1	HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51791807.0	7.7 Gbp	0.0	150.0	48.0	27.88117822767193	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2	HSF4_4H_2_ZKRN250030475-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51791807.0	7.7 Gbp	0.0	150.0	48.0	27.970788590592164	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1	HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51657803.0	7.7 Gbp	0.0	150.0	49.0	28.22415316938112	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2	HSF4_4H_3_ZKRN250030476-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51657803.0	7.7 Gbp	0.0	150.0	49.0	28.161463634229495	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50941899.0	7.6 Gbp	0.0	150.0	48.0	25.623875796194675	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50941899.0	7.6 Gbp	0.0	150.0	48.0	25.63246480991727	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1	HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53187475.0	7.9 Gbp	0.0	150.0	49.0	26.721471535169467	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2	HSF4_6H_2_ZKRN250030478-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53187475.0	7.9 Gbp	0.0	150.0	49.0	26.833116240028343	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1	HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54803659.0	8.2 Gbp	0.0	150.0	50.0	27.47249399631974	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	pass	pass
HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2	HSF4_6H_3_ZKRN250030479-1A_23F5KYLT4_L7_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54803659.0	8.2 Gbp	0.0	150.0	50.0	27.475734194557116	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	pass	pass
